F_code,product,amount,calories,protein,fat,carbohydrate,sugars,natrium,cholesterol,fatty_acid,trans_fatty_acid
DTSH0101,핫식스 팬시캔디,250,60,0,0,15,15,75,0,0,0
RBJB0217,핵불닭볶음면,140,555,12,19,84,6,1450,0,9,0
SGJH0200,허니버터칩,60,345,2,24,30,2,200,0,0,0
SGJH0300,홈런볼 무지방 우유,46,260,4,17,23,15,100,40,0,0
DTSH0400,화이브미니,100,55,0,0,15,10,10,0,0,0
SWFH0500,화이트하임,100,525,7,29,61,38,140,15,16,0
DATH0600,황금보리,500,0,0,0,0,0,35,0,0,0
SGJH0700,후레쉬베리,28,125,1,7,15,9,50,16,3.4,0
SGJH0701,후레쉬베리 복숭아,28,127,1,7,15,10,35,19,2.9,0
SBSH0800,후렌치파이딸기,26,130,1,6,16,7,60,3,0,0
SBSH0801,후렌치파이사과,13,65,1,3,8,4,30,3,0,0
SBSH0801,흑당 빠다코코낫,50,255,3,11,35,12,170,1,6,0
SSNJ1702,흑당짱구,115,160,2,8,20,7,110,0,4,0
